iter	RMSE
0	75952.03605
1	74151.34937
2	72293.83404
3	70604.538
4	68931.29188
5	67525.20394
6	66078.4113
7	64774.41112
8	63336.72775
9	61940.2155
10	60580.90598
11	59154.62922
12	57934.61758
13	56657.44558
14	55419.12445
15	54477.59338
16	53323.06248
17	52276.124
18	51149.06221
19	50305.88731
20	49320.66945
21	48407.86665
22	47480.62992
23	46634.27585
24	45867.35489
25	45065.951
26	44341.99932
27	43650.49737
28	43078.35646
29	42336.70586
30	41601.22611
31	40972.37749
32	40369.21402
33	39779.05382
34	39146.11226
35	38492.09922
36	37958.45786
37	37371.3761
38	36980.14307
39	36357.10303
40	35855.00465
41	35449.95907
42	34934.80581
43	34541.62772
44	34099.48242
45	33630.03431
46	33242.78272
47	32817.60995
48	32478.94424
49	32092.70121
50	31684.9929
51	31400.24873
52	31075.50232
53	30706.55938
54	30338.51765
55	30128.5671
56	29849.79338
57	29585.37196
58	29258.07723
59	28951.84871
60	28711.72657
61	28478.88256
62	28259.35703
63	27966.91242
64	27703.98724
65	27507.4279
66	27349.43576
67	27196.29991
68	26974.4197
69	26844.29044
70	26609.54106
71	26433.98533
72	26249.69134
73	26038.07286
74	25868.01034
75	25689.376
76	25538.73547
77	25430.29336
78	25272.95636
79	25193.57489
80	25022.24648
81	24824.05304
82	24789.67414
83	24589.35783
84	24507.15745
85	24353.3594
86	24169.51136
87	24052.72523
88	23947.40188
89	23807.02037
90	23692.95686
91	23650.20046
92	23488.63807
93	23348.48172
94	23215.85024
95	23133.55029
96	23019.44206
97	22900.33639
98	22793.97695
99	22677.48238
100	22568.28695
101	22498.59907
102	22392.67093
103	22294.644
104	22171.12833
105	22037.85422
106	21940.64338
107	21829.52442
108	21728.91512
109	21642.9437
110	21559.07732
111	21465.08485
112	21386.73656
113	21297.44073
114	21253.80822
115	21170.31881
116	21143.57463
117	21118.40829
118	21047.28706
119	20994.20181
120	20955.5798
121	20917.37783
122	20861.52934
123	20742.45894
124	20651.83787
125	20551.16058
126	20529.52372
127	20480.42396
128	20389.08361
129	20341.89844
130	20280.06951
131	20186.88936
132	20118.35147
133	20056.67537
134	19936.49311
135	19916.75254
136	19858.27384
137	19785.19493
138	19689.68924
139	19649.4298
140	19601.86687
141	19542.54403
142	19495.65425
143	19426.79429
144	19399.86703
145	19344.3022
146	19309.5828
147	19278.48118
148	19202.46244
149	19177.73637
150	19128.50671
151	19041.00036
152	18974.12954
153	18901.60282
154	18845.19268
155	18771.45225
156	18692.30484
157	18638.43097
158	18587.93802
159	18516.42503
160	18502.4643
161	18447.48588
162	18397.20462
163	18335.12963
164	18267.23381
165	18203.36093
166	18116.19683
167	18092.09548
168	18073.12018
169	18027.78695
170	17945.70554
171	17928.91204
172	17858.09338
173	17795.95765
174	17721.97576
175	17675.49904
176	17656.56555
177	17597.98788
