iter	Passed	Remaining
0	150	150372
1	155	77362
2	159	53031
3	163	40803
4	169	33640
5	174	28878
6	178	25314
7	184	22832
8	188	20731
9	192	19069
10	196	17701
11	202	16631
12	206	15692
13	211	14866
14	216	14214
15	221	13635
16	226	13082
17	231	12627
18	235	12173
19	240	11764
20	244	11382
21	249	11090
22	253	10789
23	258	10499
24	263	10259
25	267	10032
26	272	9802
27	276	9587
28	281	9427
29	286	9278
30	291	9112
31	296	8982
32	301	8831
33	305	8691
34	311	8577
35	316	8473
36	321	8355
37	325	8250
38	332	8187
39	337	8090
40	341	7996
41	349	7964
42	354	7889
43	359	7814
44	364	7734
45	368	7648
46	374	7595
47	380	7538
48	384	7469
49	389	7403
50	396	7371
51	401	7311
52	405	7251
53	412	7218
54	419	7199
55	424	7163
56	430	7118
57	435	7075
58	441	7036
59	446	6999
60	451	6954
61	457	6917
62	478	7114
63	486	7115
64	493	7101
65	498	7059
66	503	7013
67	509	6987
68	514	6944
69	519	6902
70	525	6877
71	532	6859
72	538	6835
73	545	6829
74	551	6800
75	558	6793
76	564	6761
77	569	6729
78	576	6716
79	580	6681
80	585	6647
81	592	6634
82	598	6610
83	604	6589
84	610	6573
85	616	6549
86	622	6536
87	628	6511
88	633	6483
89	639	6470
90	645	6445
91	650	6418
92	656	6401
93	662	6382
94	667	6358
95	673	6343
96	678	6319
97	684	6298
98	689	6279
99	695	6257
100	700	6236
101	706	6218
102	712	6205
103	719	6198
104	725	6184
105	731	6165
106	737	6152
107	743	6144
108	749	6129
109	755	6110
110	759	6086
111	765	6069
112	771	6057
113	778	6047
114	784	6034
115	789	6013
116	793	5991
117	800	5984
118	806	5967
119	811	5947
120	818	5942
121	823	5924
122	828	5906
123	835	5900
124	843	5904
125	850	5896
126	856	5885
127	861	5867
128	867	5857
129	872	5839
130	877	5820
131	884	5813
132	889	5795
133	894	5779
134	900	5769
135	906	5757
136	913	5751
137	918	5736
138	923	5722
139	930	5714
140	936	5703
141	941	5689
142	948	5683
143	955	5677
144	961	5670
145	967	5656
146	972	5641
147	978	5630
148	983	5618
149	989	5607
150	997	5609
151	1003	5599
152	1008	5584
153	1015	5578
154	1022	5572
155	1028	5565
156	1034	5552
157	1039	5538
158	1046	5534
159	1052	5527
160	1059	5522
161	1065	5509
162	1070	5494
163	1076	5489
164	1083	5481
165	1089	5471
166	1095	5463
167	1100	5450
168	1106	5441
169	1112	5433
170	1118	5422
171	1125	5415
172	1131	5409
173	1139	5410
174	1147	5410
175	1153	5399
176	1159	5392
177	1165	5380
178	1170	5370
179	1176	5360
180	1182	5349
181	1187	5339
182	1194	5330
183	1199	5321
184	1205	5312
185	1211	5301
186	1217	5291
187	1223	5284
188	1228	5272
189	1233	5260
190	1240	5254
191	1245	5242
192	1250	5230
193	1259	5232
194	1266	5226
195	1273	5222
196	1278	5210
197	1283	5198
198	1289	5191
199	1294	5179
200	1300	5170
201	1306	5161
202	1312	5151
203	1318	5145
204	1325	5140
205	1331	5133
206	1338	5129
207	1344	5119
208	1351	5115
209	1358	5109
210	1363	5099
211	1371	5099
212	1378	5091
213	1385	5089
214	1392	5085
215	1400	5081
216	1406	5073
217	1411	5063
218	1419	5061
219	1425	5054
220	1432	5050
221	1440	5048
222	1446	5040
223	1453	5034
224	1459	5027
225	1466	5022
226	1472	5013
227	1477	5004
228	1485	5000
229	1490	4991
230	1498	4987
231	1505	4984
232	1512	4978
233	1519	4972
234	1524	4963
235	1534	4967
236	1541	4961
237	1549	4959
238	1555	4952
239	1563	4949
240	1570	4944
241	1577	4940
242	1583	4932
243	1605	4973
244	1614	4975
245	1620	4966
246	1628	4965
247	1640	4975
248	1648	4971
249	1654	4963
250	1661	4957
251	1667	4949
252	1672	4938
253	1679	4931
254	1685	4924
255	1691	4915
256	1697	4906
257	1702	4896
258	1708	4887
259	1714	4878
260	1719	4868
261	1726	4862
262	1731	4851
263	1737	4842
264	1743	4836
265	1750	4829
266	1755	4820
267	1761	4812
268	1767	4803
269	1774	4798
270	1780	4788
271	1785	4777
272	1791	4772
273	1797	4762
274	1802	4752
275	1809	4745
276	1816	4740
277	1822	4733
278	1828	4724
279	1833	4714
280	1839	4707
281	1845	4698
282	1851	4690
283	1858	4686
284	1864	4676
285	1869	4667
286	1876	4661
287	1883	4657
288	1891	4652
289	1896	4642
290	1901	4632
291	1907	4624
292	1914	4618
293	1920	4611
294	1928	4607
295	1933	4598
296	1939	4590
297	1944	4581
298	1950	4573
299	1957	4566
300	1962	4557
301	1969	4551
302	1975	4543
303	1980	4534
304	1987	4529
305	1994	4522
306	2000	4516
307	2006	4508
308	2011	4498
309	2018	4493
310	2024	4485
311	2030	4477
312	2037	4471
313	2042	4461
314	2047	4453
315	2053	4445
316	2060	4439
317	2067	4434
318	2073	4426
319	2078	4417
320	2084	4410
321	2090	4401
322	2095	4392
323	2101	4385
324	2107	4376
325	2113	4369
326	2119	4362
327	2125	4355
328	2132	4349
329	2138	4342
330	2151	4347
331	2156	4339
332	2164	4334
333	2170	4328
334	2175	4319
335	2182	4313
336	2188	4304
337	2194	4297
338	2200	4290
339	2205	4281
340	2211	4274
341	2217	4266
342	2222	4257
343	2229	4251
344	2235	4245
345	2242	4239
346	2247	4229
347	2253	4221
348	2259	4215
349	2265	4207
350	2270	4198
351	2277	4192
352	2283	4185
353	2289	4177
354	2295	4171
355	2302	4165
356	2319	4176
357	2331	4181
358	2338	4175
359	2345	4169
360	2350	4159
361	2355	4150
362	2361	4143
363	2368	4137
364	2374	4131
365	2379	4122
366	2384	4113
367	2391	4107
368	2398	4101
369	2403	4091
370	2409	4085
371	2416	4079
372	2422	4072
373	2428	4064
374	2433	4056
375	2440	4049
376	2445	4041
377	2450	4031
378	2456	4025
379	2461	4016
380	2467	4009
381	2474	4003
382	2480	3996
383	2486	3988
384	2492	3981
385	2497	3973
386	2504	3967
387	2509	3958
388	2515	3951
389	2521	3944
390	2527	3935
391	2532	3927
392	2538	3920
393	2544	3914
394	2550	3906
395	2555	3898
396	2561	3890
397	2567	3883
398	2572	3875
399	2578	3868
400	2584	3861
401	2592	3856
402	2598	3849
403	2604	3842
404	2611	3836
405	2617	3829
406	2622	3821
407	2627	3813
408	2634	3806
409	2639	3797
410	2644	3789
411	2651	3784
412	2658	3778
413	2665	3772
